sentence,labels
"Jab Zarah ghar pohoncha, usne dekha ke Bilal Bashir wahan pehle se maujood tha; dono gaye.",O B-PER O O O O O B-PER I-PER O O O O O O O
"Subhan ne kal Gulberg se call ki aur bola, 'main late aaon ga'.",B-PER O O B-LOC O O O O O O O O O
Fizza Sarfaraz library me assignment likh rhi thi jab bijli chali gayi.,B-PER I-PER O O O O O O O O O O
Mahnoor ne apni behn ke liye USB phone kharida aur gift diya.,B-PER O O O O O B-PRODUCT I-PRODUCT O O O O
Irfan Sara library me assignment likh rhi thi jab bijli chali gayi.,B-PER I-PER O O O O O O O O O O
"Imran ki shaadi aaj ko hai, invitation sent.",B-PER O O B-DATE O O O O
Subhan ne Metro Hospital me job start ki aur onboarding chal rahi hai.,O O B-ORG I-ORG O O O O O O O O O
Qudsia ke pass Quetta jaegi aur jakr parhai kregi.,B-PER O O B-LOC O O O O O
Adeel Khalil ne USB phone kharida lekin delivery delay ho gayi.,B-PER I-PER O B-PRODUCT I-PRODUCT O O O O O O
"Zeeshan Faisal ne kal Korangi Industrial Area se call ki aur bola, 'main late aaon ga'.",B-PER I-PER O O B-LOC I-LOC I-LOC O O O O O O O O O
Shanzay Arshad se North Karachi se wapas aa rha tha jab traffic jam ho gaya.,B-PER I-PER O B-LOC I-LOC O O O O O O O O O O
"Shanzay ka address: House No. 5, Old Lahore; phone 042-111222333.",B-PER O O O O O O O O O
aMriam ki company Karachi Press ke sath partnership sign kar rahi hai; press release will follow.,B-PER O O B-ORG I-ORG O O O O O O O O O O O
Irfan ne meeting attend kiya aur report submit ki.,B-PER O B-EVENT O O O O O O
"Haroon ne kal Defense Phase II se call ki aur bola, 'main late aaon ga'.",B-PER O O B-LOC I-LOC I-LOC O O O O O O O O O
Farah Tania ne second-hand laptop ghar bheja; tracking no. ABC123.,B-PER I-PER O B-PRODUCT I-PRODUCT O O O O O
Anam Shameem ki tabiyat theek? kal check karwalo; doctor appointment set hai.,B-PER I-PER O O O O O O O O O O
Kal Junaid Pervaiz subha concert me jaega aur uske baad class hogi.,O B-PER I-PER O B-EVENT O O O O O O O
"Saqib ka address: House No. 5, Old Lahore; phone 042-111222333.",B-PER O O O O O O O O O
Fizza - Karachi - aj; short note.,B-PER O B-LOC O O O O
"Mere walid ki age bari hai, isliye hum fikr me hain.",O O O O O O O O O O O
Subhan ne PTCL me job start ki aur onboarding chal rahi hai.,O O B-ORG O O O O O O O O O
Kya Arshad Minahil ko pata hai ke Islamabad Sector G-8 me exam cancel hogaya? ye serious issue hai.,O B-PER I-PER O O O O B-LOC I-LOC I-LOC O O O O O O O O
"Shanzay Arshad ne Rana Arsalan ko USB phone gift kiya, dono khush.",B-PER I-PER O B-PER I-PER O B-PRODUCT I-PRODUCT O O O O
Kya Zoya ko pata hai ke Lahore me exam cancel hogaya? ye serious issue hai.,O B-PER O O O O B-LOC O O O O O O O O
"Rabia Mariam ki shaadi sham ko hai, invitation sent.",B-PER I-PER O O B-DATE O O O O
Kal Mehreen Pervaiz subha meeting me jaega aur uske baad class hogi.,O B-PER I-PER O B-EVENT O O O O O O O
Mehreen ki tabiyat theek? kal check karwalo; doctor appointment set hai.,B-PER O O O O O O O O O O
"Jab Omar ghar pohoncha, usne dekha ke Laila Danish wahan pehle se maujood tha; dono gaye.",O B-PER O O O O O B-PER I-PER O O O O O O O
Nadia Sania aur Haroon aj market gaye thay; phir cafe me coffee pi.,B-PER I-PER O B-PER O O O O O O O O O
Kya Rimsha Noreen ko pata hai ke Gujranwala me exam cancel hogaya? ye serious issue hai.,O B-PER I-PER O O O O B-LOC O O O O O O O O
"Bank of Punjab ka CEO Maryam hai aur woh aaj press conference karenge, media invited.",B-ORG I-ORG I-ORG O O B-PER O O O O O O O O O
City College ka office Defense Phase II me hai; contact number 0300-1234567.,B-ORG I-ORG O O B-LOC I-LOC I-LOC O O O O O
Ehsan - Rawalpindi - aj; short note.,B-PER O B-LOC O O O O
Rimsha Noreen ne online Nikon camera order kiya aur delivery pending hai - tracking shows delay.,B-PER I-PER O O B-PRODUCT I-PRODUCT O O O O O O O O O O
Mahnoor Asad fruit bana rhi hai kyunki unko healthy rehna hai.,B-PER I-PER O O O O O O O O O
"Nida Rimsha (jo Dr. hai) Gujranwala se wapas aaega, phir apna laptop check karega.",B-PER I-PER O O O B-LOC O O O O O B-PRODUCT O O
"Komal Irfan (jo Dr. hai) Lahore se wapas aaega, phir apna laptop check karega.",B-PER I-PER O O O B-LOC O O O O O O O O
"Omar ki shaadi subha ko hai, invitation sent.",B-PER O O B-DATE O O O O
Farah Tania ne apna motorcycle repair karwaya par abhi faulty hai.,B-PER I-PER O O B-PRODUCT O O O O O O
"Fizza Sarfaraz kal parso ko conference attend karega, waqt 10:00 AM.",B-PER I-PER O B-DATE O B-EVENT O O O O O
Karachi Press ka office Gulberg me hai; contact number 0300-1234567.,B-ORG I-ORG O O B-LOC O O O O O
Javeria Umar se Faisalabad se wapas aa rha tha jab traffic jam ho gaya.,B-PER I-PER O B-LOC O O O O O O O O O O
"Mahnoor Asad ne kal Islamabad se call ki aur bola, 'main late aaon ga'.",B-PER I-PER O O B-LOC O O O O O O O O O
Nadia aj Metro Hospital me kaam krta hai aur meeting rakhni thi.,B-PER O B-ORG I-ORG O O O O O O O O
'Agar tum aa sako to' Ali ne kaha 'kal subha hi chalein'.,O O O O O B-PER O O O O O O
Subha subha Zeeshan Rawalpindi pohoncha; phir hotel check-in ki aur rest liya.,O O B-PER B-LOC O O O O O O O O
Javeria Sana fruit bana rhi hai kyunki unko healthy rehna hai.,B-PER I-PER O O O O O O O O O
Qasim ne match attend kiya aur report submit ki.,B-PER O B-EVENT O O O O O O
Rabia ko USB phone pasand aaya lekin price zyada tha.,B-PER O B-PRODUCT I-PRODUCT O O O O O O
"Sajida ki shaadi 15-Aug ko hai, invitation sent.",B-PER O O B-DATE O O O O
Kya Asad ko pata hai ke Pindi Cantt me exam cancel hogaya? ye serious issue hai.,O B-PER O O O O B-LOC I-LOC O O O O O O O O
"Nida (jo Dr. hai) Islamabad Sector G-8 se wapas aaega, phir apna laptop check karega.",B-PER O O O B-LOC I-LOC I-LOC O O O O O O O O
"Ermu ne kal Islamabad se call ki aur bola, 'main late aaon ga'.",B-PER O O B-LOC O O O O O O O O O
"HBL ka CEO Faisal hai aur woh aaj press conference karenge, media invited.",B-ORG O O B-PER O O O B-DATE O O O O O
"Sadia ne apna electric scooter sell kar diya aur naya phone liya, refund pending.",B-PER O O B-PRODUCT I-PRODUCT O O O O O O O O O
Beenish Arsalan se Pindi Cantt travel kar rhi hai; accommodation arranged.,B-PER I-PER O B-LOC I-LOC O O O O O O
"University ka CEO Danish hai aur woh aaj press conference karenge, media invited.",B-ORG O O B-PER O O O O O O O O O
Fatima ne online Nikon camera order kiya aur delivery pending hai - tracking shows delay.,B-PER O O B-PRODUCT I-PRODUCT O O O O O O O O O O
Ehsan apni dost ke sath Lahore jaegi kyunki shopping zaroori thi.,B-PER O O O O B-LOC O O O O O
Aaj Warda ne project submit kiya; supervisor ne appreciate kiya.,O B-PER O O O O O O O O
Khadija Bushra university me khana kha rha tha.,B-PER I-PER O O O O O O
Rana Arsalan - Peshawar - aj; short note.,B-PER I-PER O B-LOC O O O O
Maryam aur Rabiya aj shopping mall gaye - parking paid thi.,B-PER O B-PER O O O O O O O O
Samir kal Faisalabad me match dekhne jaega; tickets book karlo.,B-PER O B-LOC O O O O O O O
Rimsha ki meeting 15-Aug ko National University me scheduled hai - confirm karo.,B-PER O O B-DATE O B-ORG I-ORG O O O O O O
Rana Shameem ki tabiyat theek nahi hai - doctor bula lo.,B-PER I-PER O O O O O O O O O
"Irfan Saqib (jo Dr. hai) Quetta se wapas aaega, phir apna laptop check karega.",B-PER I-PER O O O B-LOC O O O O O O O O
Fahad se Lahore travel kar rhi hai; accommodation arranged.,B-PER O B-LOC O O O O O O
Careem (North Branch) ne notice issue ki - please read.,B-ORG O O O O O O O O O
Laila Kiran ki company HBL ke sath partnership sign kar rahi hai; press release will follow.,B-PER I-PER O O B-ORG O O O O O O O O O O O
"Kal meri class ka test hoga, jo important hoga.",O O O O O O O O O
Iqra Ehsan ki company University ke sath partnership sign kar rahi hai; press release will follow.,B-PER I-PER O O B-ORG O O O O O O O O O O O
Javeria Umar ne apni behn ke liye camera kharida aur gift diya.,B-PER I-PER O O O O O B-PRODUCT O O O O
Rana se DHA Karachi se wapas aa rha tha jab traffic jam ho gaya.,B-PER O B-LOC I-LOC O O O O O O O O O O
International School (North Branch) ne notice issue ki - please read.,B-ORG I-ORG O O O O O O O O O
